run_id,clock_div0,clock_div1,desired_baud,requested_repeat_count,target_packets,valid_repeat_count,excluded_repeat_count,per_mean,per_std,ber_mean,ber_std,avg_rssi_dbm_mean,avg_rssi_dbm_std,valid_rows_mean,valid_rows_min,valid_rows_max
d18_d16_b100k,18,16,100000,10,200,0,10,,,,,,,,,
d20_d18_b100k,20,18,100000,10,200,0,10,,,,,,,,,
d22_d20_b100k,22,20,100000,10,200,0,10,,,,,,,,,
d24_d22_b100k,24,22,100000,10,200,0,10,,,,,,,,,
d26_d22_b100k,26,22,100000,10,200,0,10,,,,,,,,,
d26_d24_b100k,26,24,100000,10,200,0,10,,,,,,,,,
d28_d24_b100k,28,24,100000,10,200,0,10,,,,,,,,,
d28_d26_b100k,28,26,100000,10,200,0,10,,,,,,,,,
d30_d26_b100k,30,26,100000,10,200,0,10,,,,,,,,,
d30_d28_b100k,30,28,100000,10,200,0,10,,,,,,,,,
d32_d26_b100k,32,26,100000,10,200,0,10,,,,,,,,,
d32_d28_b100k,32,28,100000,10,200,0,10,,,,,,,,,
d32_d30_b100k,32,30,100000,10,200,0,10,,,,,,,,,
d34_d28_b100k,34,28,100000,10,200,0,10,,,,,,,,,
d34_d30_b100k,34,30,100000,10,200,0,10,,,,,,,,,
d34_d32_b100k,34,32,100000,10,200,0,10,,,,,,,,,
d36_d30_b100k,36,30,100000,10,200,0,10,,,,,,,,,
d36_d32_b100k,36,32,100000,10,200,0,10,,,,,,,,,
d36_d34_b100k,36,34,100000,10,200,0,10,,,,,,,,,
